"filename", "language", "GraphQL", "Babel JavaScript", "comment", "blank", "total"
"/mnt/k/Programming/Full Stack/gardeniox/client/next.config.js", "Babel JavaScript", 0, 8, 0, 3, 11
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/fragments/user/NormalUser.graphql", "GraphQL", 5, 0, 0, 1, 6
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/fragments/user/NormalUserResponse.graphql", "GraphQL", 8, 0, 0, 1, 9
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/fragments/user/error/NormalError.graphql", "GraphQL", 4, 0, 0, 1, 5
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/mutations/createPlant.graphql", "GraphQL", 9, 0, 0, 1, 10
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/mutations/createPlot.graphql", "GraphQL", 6, 0, 0, 1, 7
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/mutations/user/loginUser.graphql", "GraphQL", 5, 0, 0, 1, 6
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/mutations/user/logoutUser.graphql", "GraphQL", 3, 0, 0, 1, 4
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/mutations/user/registerUser.graphql", "GraphQL", 5, 0, 0, 1, 6
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/queries/plant/plant.graphql", "GraphQL", 11, 0, 0, 1, 12
"/mnt/k/Programming/Full Stack/gardeniox/client/src/graphql/queries/user/me.graphql", "GraphQL", 5, 0, 0, 1, 6
"/mnt/k/Programming/Full Stack/gardeniox/client/src/pages/api/hello.js", "Babel JavaScript", 0, 3, 1, 2, 6
"Total", "-", 61, 11, 1, 15, 88